docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,iter,score,relation_selected,max_score,n_cycles,min_vote
AP_20130322,,,e3,e2,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e4,e2,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e3,e4,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e3,e6,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e3,e7,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e4,e6,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e4,e7,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e7,e6,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e6,e8,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e6,e9,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e6,e10,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e7,e8,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e7,e9,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e7,e10,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e8,e9,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e8,e10,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e9,e10,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e13,e12,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e13,e16,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e13,e17,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e13,e20,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e16,e17,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e16,e20,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e17,e20,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
AP_20130322,,,e16,e21,VAGUE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,159.0,,3
